Year,Value,Month,City
2006,13.4,08,Abilene
2006,13.5,09,Abilene
2006,13.5,10,Abilene
2006,13.6,11,Abilene
2006,13.5,12,Abilene
2007,13.2,01,Abilene
2007,13.3,02,Abilene
2007,13.3,03,Abilene
2007,13.0,04,Abilene
2007,13.1,05,Abilene
2007,13.0,06,Abilene
2007,13.3,07,Abilene
2007,13.5,08,Abilene
2007,13.5,09,Abilene
2007,13.5,10,Abilene
2007,13.4,11,Abilene
2007,13.3,12,Abilene
2008,13.1,01,Abilene
2008,13.3,02,Abilene
2008,13.3,03,Abilene
2008,13.4,04,Abilene
2008,13.4,05,Abilene
2008,13.4,06,Abilene
2008,13.4,07,Abilene
2008,13.5,08,Abilene
2008,13.6,09,Abilene
2008,13.5,10,Abilene
2008,13.4,11,Abilene
2008,13.4,12,Abilene
2009,13.3,01,Abilene
2009,13.4,02,Abilene
2009,13.4,03,Abilene
2009,13.5,04,Abilene
2009,13.5,05,Abilene
2009,13.6,06,Abilene
2009,13.5,07,Abilene
2009,13.6,08,Abilene
2009,13.8,09,Abilene
2009,13.8,10,Abilene
2009,13.8,11,Abilene
2009,13.7,12,Abilene
2010,13.6,01,Abilene
2010,13.7,02,Abilene
2010,13.8,03,Abilene
2010,13.6,04,Abilene
2010,13.6,05,Abilene
2010,13.5,06,Abilene
2010,13.5,07,Abilene
2010,13.5,08,Abilene
2010,13.8,09,Abilene
2010,13.7,10,Abilene
2010,13.7,11,Abilene
2010,13.6,12,Abilene
2011,13.4,01,Abilene
2011,13.4,02,Abilene
2011,13.6,03,Abilene
2011,13.4,04,Abilene
2011,13.4,05,Abilene
2011,13.4,06,Abilene
2011,13.3,07,Abilene
2011,13.5,08,Abilene
2011,13.5,09,Abilene
2011,13.6,10,Abilene
2011,13.5,11,Abilene
2011,13.5,12,Abilene
2012,13.5,01,Abilene
2012,13.7,02,Abilene
2012,13.6,03,Abilene
2012,13.6,04,Abilene
2012,13.5,05,Abilene
2012,13.4,06,Abilene
2012,13.2,07,Abilene
2012,13.3,08,Abilene
2012,13.3,09,Abilene
2012,13.4,10,Abilene
2012,13.3,11,Abilene
2012,13.2,12,Abilene
2013,13.1,01,Abilene
2013,13.2,02,Abilene
2013,13.1,03,Abilene
2013,13.0,04,Abilene
2013,12.9,05,Abilene
2013,12.7,06,Abilene
2013,12.8,07,Abilene
2013,12.8,08,Abilene
2013,13.1,09,Abilene
2013,13.3,10,Abilene
2013,13.4,11,Abilene
2013,13.3,12,Abilene
2014,13.0,01,Abilene
2014,13.1,02,Abilene
2014,13.1,03,Abilene
2014,13.2,04,Abilene
2014,13.2,05,Abilene
2014,13.0,06,Abilene
2014,13.0,07,Abilene
2014,13.0,08,Abilene
2014,13.2,09,Abilene
2014,13.3,10,Abilene
2014,13.4,11,Abilene
2014,13.3,12,Abilene
2015,13.2,01,Abilene
2015,13.3,02,Abilene
2015,13.2,03,Abilene
2015,13.5,04,Abilene
2015,13.4,05,Abilene
2015,13.2,06,Abilene
2015,13.2,07,Abilene
2015,13.3,08,Abilene
2015,13.3,09,Abilene
2015,13.4,10,Abilene
2015,13.5,11,Abilene
2015,13.5,12,Abilene
2016,13.4,01,Abilene
2016,13.6,02,Abilene
2016,13.6,03,Abilene
2016,13.4,04,Abilene
2016,13.3,05,Abilene
2016,13.5,06,Abilene
2016,13.6,07,Abilene
2016,13.6,08,Abilene
2016,13.9,09,Abilene
2016,13.9,10,Abilene
2016,13.9,11,Abilene
2016,13.9,12,Abilene
2017,13.6,01,Abilene
2017,14.1,02,Abilene
2017,14.2,03,Abilene
2017,14.2,04,Abilene
2017,14.2,05,Abilene
2017,14.2,06,Abilene
2017,13.9,07,Abilene
2017,14.2,08,Abilene
2017,14.5,09,Abilene
2017,14.6,10,Abilene
2017,14.6,11,Abilene
2017,14.5,12,Abilene
2018,14.2,01,Abilene
2018,14.5,02,Abilene
2018,14.4,03,Abilene
2018,14.8,04,Abilene
2018,14.8,05,Abilene
2018,14.6,06,Abilene
2018,14.5,07,Abilene
2018,14.5,08,Abilene
2018,14.7,09,Abilene
2018,15.0,10,Abilene
2018,15.0,11,Abilene
2018,15.1,12,Abilene
2019,14.7,01,Abilene
2019,15.1,02,Abilene
2019,15.1,03,Abilene
2019,15.0,04,Abilene
2019,15.3,05,Abilene
2019,15.2,06,Abilene
2019,15.2,07,Abilene
2019,15.2,08,Abilene
2019,15.4,09,Abilene
2019,15.7,10,Abilene
2019,15.9,11,Abilene
2019,15.8,12,Abilene
2020,15.7,01,Abilene
2020,16.1,02,Abilene
2020,16.0,03,Abilene
2020,14.6,04,Abilene
2020,14.8,05,Abilene
2020,14.8,06,Abilene
2020,14.9,07,Abilene
2020,15.0,08,Abilene
2020,15.2,09,Abilene
2020,15.5,10,Abilene
2020,15.5,11,Abilene
2020,15.5,12,Abilene
2021,15.2,01,Abilene
2021,15.3,02,Abilene
